部品№,品名,規格,棚番
200208,Ｓ側駆動部Ａｓｓ’Ｙ２　　　　　　　　,UA-08FMIII-02-02-00,1F-MB-09
182111,ＬＭブロック　　　　　　　　　　　　　,SSR20XW1SS(GK)BLOCK,1F-MB-10
183350,サージキラー　　　　　　　　　　　　　,SZ-Z35,1F-MC-01
210952,ソレノイドバルブ（パッキン・ビス無し）,VF5120-5MJ1-03-X70,1F-MC-02
181982,ソレノイドバルブ　　　　　　　　　　　,SY3240-5MO,1F-MC-04
294147,エンドプレート　　　　　　　　　　　　,302061-119-3,1F-MC-05
270347,タイミングベルト　　　　　　　　　　　,150S4.5M351 (78ﾊ),1F-MC-06
300220,ＰＸベルト　　　　　　　　　　　　　　,425P5M25,1F-MC-07
320461,ミニチュア玉軸受　　　　　　　　　　　,688ZZ,1F-MC-08
320562,深溝玉軸受　　　　　　　　　　　　　　,696ZZ,1F-MC-09
182103,ＬＭブロック　　　　　　　　　　　　　,SSR20XV1UU(GK)BLOCK,1F-MC-10
182477,ＬＭブロック　　　　　　　　　　　　　,SHS25LV1UU(GK)BLOCK,1F-MC-11
183653,ＬＭブロック　　　　　　　　　　　　　,SHS45LV1UU(GK)BLOCK,1F-MC-1213
210922,ソレノイドバルブ　　　　　　　　　　　,VP542R-5D1-03A-F,1F-MD-01
210953,ソレノイドバルブ（パッキン・ビス無し）,VF5320-5MJ1-03-X70,1F-MD-02
210271,ソレノイドバルブ　　　　　　　　　　　,VZ3240-5MO-X53,1F-MD-03
187772,ソレノイドバルブ　　　　　　　　　　　,SY3240T-5LOZ,1F-MD-04
270348,タイミングベルト　　　　　　　　　　　,150S4.5M396 (88ﾊ),1F-MD-06
310479,スーパーＰＸベルト　　　　　　　　　　,525SP5M15,1F-MD-07
320160,深ミゾ玉軸受　　　　　　　　　　　　　,6001ZZ,1F-MD-08
320523,深ミゾ玉軸受　　　　　　　　　　　　　,6202ZZ,1F-MD-09
